Activity Date,Activity Month,Activity Type,Campaign Duration (bin),Campaign ID,Campaign Name,Campaign Objective,Channel,Conversion Funnel Stage,Marketing metrics Discrete,Source,Target Audience,Visibility,AVG(0),Campaign Duration,Clicks,Conversion Rate,Conversions,Cost,Cost Per Conversion,Engagement Rate,Engagement Time,Impressions,Marketing metrics,MIN(1),Revenue,ROI
12/4/2022,December,Click,79,Campaign-2871fu,Synergistic bi-directional hierarchy,Brand Awareness,Facebook,Decision,Impressions,SEO,New Visitors,Public,0,84,93,0.12,8,241.6,30.2,0.28,285,982,982,1,1297.77,179.21
9/8/2022,September,Engagement,47,Campaign-8714Js,Operative discrete task-force,Lead Generation,LinkedIn,Decision,Impressions,PPC,Segmented Audience,Public,0,51,108,0.2,6,417.81,69.635,0.88,92,1017,1017,1,1251.99,21.25
4/23/2023,April,Ad Display,32,Campaign-1858nZ,Future-proofed zero administration initiative,Lead Generation,Instagram,Consideration,Impressions,Email,New Visitors,Public,0,34,98,0.11,8,845.8,105.725,0.43,268,993,993,1,1854.25,-39.86
3/10/2022,March,Click,79,Campaign-9894Cf,Profit-focused heuristic open system,Brand Awareness,LinkedIn,Consideration,Impressions,SEO,Returning Customers,Public,0,83,108,0.08,10,690.7,69.07,0.83,199,1014,1014,1,979.34,-17.01
3/27/2022,March,Engagement,53,Campaign-9659ps,Distributed uniform array,Brand Awareness,LinkedIn,Awareness,Impressions,Direct,Returning Customers,Restricted,0,56,93,0.2,11,618.86,56.26,0.78,90,1100,1100,1,663.66,213.82
2/6/2023,February,Engagement,16,Campaign-2320NQ,Inverse didactic secured line,Lead Generation,Twitter,Consideration,Impressions,PPC,Segmented Audience,Restricted,0,19,120,0.07,9,548.44,60.93777778,0.47,226,997,997,1,999.91,-95.99
5/22/2023,May,Click,84,Campaign-4711RW,Balanced hybrid task-force,Lead Generation,Facebook,Awareness,Impressions,Social Media,Subscribers,Restricted,0,87,92,0.18,9,434.13,48.23666667,0.14,175,957,957,1,1435.73,-56.42
12/31/2022,December,Ad Display,84,Campaign-2201SI,Multi-tiered even-keeled groupware,Lead Generation,Google Ads,Awareness,Impressions,Social Media,Subscribers,Public,0,86,109,0.15,10,680.53,68.053,0.31,187,1027,1027,1,653.64,15.37
5/8/2023,May,Engagement,74,Campaign-6848Zp,Ergonomic motivating structure,Brand Awareness,Twitter,Decision,Impressions,Referral,Segmented Audience,Private,0,75,91,0.03,9,743.73,82.63666667,0.41,288,1028,1028,1,1085.37,73.84
3/26/2023,March,Ad Display,32,Campaign-3969rC,Versatile disintermediate open system,Lead Generation,Google Ads,Decision,Impressions,Social Media,Subscribers,Public,0,36,106,0.04,11,744.38,67.67090909,0.64,280,1050,1050,1,954.95,240.12
11/11/2023,November,Engagement,74,Campaign-7515Nh,Reverse-engineered non-volatile alliance,Brand Awareness,Google Ads,Consideration,Impressions,Direct,Subscribers,Restricted,0,77,96,0.02,14,615.98,43.99857143,0.53,186,1014,1014,1,995.66,95.61
1/30/2023,January,Engagement,63,Campaign-7953pb,Pre-emptive zero tolerance encryption,Lead Generation,LinkedIn,Decision,Impressions,Direct,Returning Customers,Private,0,66,105,0.06,5,558.98,111.796,0.71,185,996,996,1,1101.95,207.31
2/5/2022,February,Ad Display,68,Campaign-4135Yk,Expanded even-keeled complexity,Sales Conversion,Google Ads,Consideration,Impressions,Direct,New Visitors,Public,0,72,98,0.18,9,570.21,63.35666667,0.89,299,994,994,1,1212.46,-82.72
4/7/2023,April,Ad Display,47,Campaign-5601Yj,Enterprise-wide local emulation,Sales Conversion,LinkedIn,Awareness,Impressions,Social Media,Subscribers,Restricted,0,48,104,0.18,11,369.48,33.58909091,0.47,187,1011,1011,1,1488.76,137.98
5/24/2023,May,Engagement,32,Campaign-3098MR,Balanced attitude-oriented emulation,Sales Conversion,Instagram,Awareness,Impressions,PPC,Subscribers,Restricted,0,33,101,0.11,7,253.15,36.16428571,0.42,166,1026,1026,1,866.23,198.78
6/26/2022,June,Click,16,Campaign-1013MK,Object-based hybrid interface,Lead Generation,Facebook,Decision,Impressions,Referral,Returning Customers,Restricted,0,16,107,0.17,18,240.7,13.37222222,0.92,78,1040,1040,1,1191.04,107.35
10/18/2023,October,Conversion,37,Campaign-1615hc,Self-enabling web-enabled algorithm,Lead Generation,Instagram,Awareness,Impressions,SEO,New Visitors,Public,0,37,103,0.16,9,293.2,32.57777778,0.5,289,982,982,1,1116.94,-82.6
7/6/2022,July,Engagement,68,Campaign-9032Th,Digitized reciprocal forecast,Lead Generation,Twitter,Awareness,Impressions,SEO,Returning Customers,Private,0,71,92,0.14,12,298.21,24.85083333,0.95,33,1027,1027,1,1392.12,-41.99
2/21/2022,February,Engagement,32,Campaign-7300IB,Triple-buffered fault-tolerant projection,Lead Generation,Google Ads,Consideration,Impressions,Social Media,Subscribers,Private,0,32,108,0.15,12,596.55,49.7125,0.1,1,1048,1048,1,1193.05,3.67
6/12/2023,June,Ad Display,21,Campaign-9141oe,Balanced non-volatile database,Sales Conversion,LinkedIn,Consideration,Impressions,Social Media,Subscribers,Private,0,23,101,0.05,7,341.05,48.72142857,0.56,202,985,985,1,1014,-87.08
3/19/2023,March,Ad Display,42,Campaign-4562dG,Innovative mobile implementation,Sales Conversion,Twitter,Awareness,Impressions,PPC,Segmented Audience,Restricted,0,47,94,0.03,8,838.5,104.8125,0.76,13,965,965,1,1170.31,17.4
1/1/2022,January,Click,26,Campaign-7091Sz,Customizable reciprocal service-desk,Sales Conversion,Facebook,Decision,Impressions,Social Media,Returning Customers,Public,0,31,101,0.1,13,658.23,50.63307692,0.36,226,954,954,1,652.6,192.17
7/17/2022,July,Ad Display,16,Campaign-3457Kk,Team-oriented grid-enabled array,Lead Generation,Twitter,Consideration,Impressions,Referral,Returning Customers,Public,0,16,89,0.2,12,363.2,30.26666667,0.9,289,946,946,1,672.8,155.67
7/22/2022,July,Ad Display,42,Campaign-3022vH,Synchronized logistical hierarchy,Sales Conversion,LinkedIn,Awareness,Impressions,Email,New Visitors,Public,0,45,101,0.09,8,717.17,89.64625,0.45,120,988,988,1,1487.38,-25.48
2/19/2022,February,Click,47,Campaign-4197Ql,Face-to-face regional paradigm,Brand Awareness,Google Ads,Decision,Impressions,Referral,New Visitors,Restricted,0,51,121,0.15,10,320.29,32.029,0.46,257,997,997,1,860.64,80.48
6/19/2022,June,Ad Display,16,Campaign-0769Gt,Balanced bandwidth-monitored help-desk,Sales Conversion,Facebook,Decision,Impressions,Social Media,Returning Customers,Restricted,0,21,118,0.05,7,434.17,62.02428571,0.22,224,1013,1013,1,1356.5,-12.8
1/22/2022,January,Click,74,Campaign-5642JS,Switchable maximized core,Sales Conversion,Facebook,Consideration,Impressions,Social Media,Segmented Audience,Restricted,0,74,125,0.18,12,319.67,26.63916667,0.04,197,1021,1021,1,605.81,288.29
8/22/2022,August,Engagement,42,Campaign-0715Vc,Integrated explicit support,Sales Conversion,Instagram,Awareness,Impressions,Email,Segmented Audience,Public,0,44,85,0.05,7,690.56,98.65142857,0.32,150,1006,1006,1,1439.7,230.99
5/21/2022,May,Ad Display,37,Campaign-8423WE,Cross-platform zero administration ability,Brand Awareness,Twitter,Decision,Impressions,PPC,Segmented Audience,Restricted,0,37,96,0.2,6,488.4,81.4,0.73,203,937,937,1,591.44,241.81
3/23/2023,March,Ad Display,68,Campaign-5945LO,Cloned static portal,Brand Awareness,Facebook,Decision,Impressions,SEO,New Visitors,Public,0,71,86,0.2,10,644.17,64.417,0.86,125,938,938,1,853.02,-77.08
6/19/2022,June,Click,32,Campaign-9246VA,Optional dedicated methodology,Brand Awareness,Google Ads,Decision,Impressions,SEO,Segmented Audience,Restricted,0,36,105,0.11,11,595.51,54.13727273,0.59,298,1005,1005,1,12.43,235.81
11/29/2022,November,Click,11,Campaign-1093Sv,Expanded mobile open architecture,Lead Generation,Twitter,Consideration,Impressions,PPC,Subscribers,Private,0,15,108,0.1,10,569.53,56.953,0.85,166,1009,1009,1,2096.23,185.26
7/15/2022,July,Engagement,11,Campaign-2337yT,Synergistic upward-trending initiative,Brand Awareness,Instagram,Consideration,Impressions,Referral,Segmented Audience,Private,0,13,105,0.18,12,667.4,55.61666667,0.26,240,997,997,1,1551.18,1.23
8/31/2022,August,Click,53,Campaign-9606SK,Programmable methodical complexity,Sales Conversion,Instagram,Consideration,Impressions,Email,New Visitors,Restricted,0,56,89,0.13,10,461.7,46.17,0.52,11,1061,1061,1,1701.6,121.55
2/20/2023,February,Engagement,32,Campaign-6027eq,Distributed 24hour moderator,Brand Awareness,Google Ads,Awareness,Impressions,Social Media,Returning Customers,Public,0,34,100,0.17,13,588.12,45.24,0.36,289,1023,1023,1,1044.03,212.16
11/10/2023,November,Conversion,84,Campaign-2787JM,Persevering asynchronous installation,Lead Generation,Facebook,Decision,Impressions,Social Media,Returning Customers,Public,0,87,91,0.16,12,593.7,49.475,0.66,238,956,956,1,1681.35,283.7
1/11/2022,January,Engagement,26,Campaign-0075tD,Self-enabling tangible functionalities,Lead Generation,LinkedIn,Decision,Impressions,PPC,Subscribers,Private,0,31,102,0.11,4,543.74,135.935,0.54,156,1026,1026,1,837.16,268.97
3/9/2022,March,Click,47,Campaign-0638Of,Upgradable context-sensitive artificial intelligence,Sales Conversion,Google Ads,Consideration,Impressions,Referral,Segmented Audience,Private,0,52,88,0.15,7,650.21,92.88714286,0.16,50,967,967,1,1078.71,-34.83
12/31/2023,December,Ad Display,11,Campaign-2066ua,Re-contextualized zero administration pricing structure,Sales Conversion,Facebook,Consideration,Impressions,Social Media,Returning Customers,Private,0,15,108,0.18,6,494.77,82.46166667,0.74,7,976,976,1,1138.48,280.41
2/1/2022,February,Engagement,53,Campaign-3008Ng,Mandatory logistical process improvement,Brand Awareness,Instagram,Awareness,Impressions,Email,Subscribers,Restricted,0,55,87,0.19,17,444.53,26.14882353,0.1,226,951,951,1,707.13,227.01
6/1/2023,June,Click,11,Campaign-3193tr,Ergonomic transitional matrix,Brand Awareness,Twitter,Awareness,Impressions,Email,Subscribers,Restricted,0,12,106,0.15,9,831.73,92.41444444,0.02,275,1013,1013,1,857.42,261.44
10/15/2022,October,Engagement,53,Campaign-2176Of,Synergistic intangible application,Sales Conversion,LinkedIn,Awareness,Impressions,PPC,Segmented Audience,Private,0,55,85,0.06,10,462.78,46.278,0.19,202,1033,1033,1,409.49,143.12
12/18/2022,December,Click,32,Campaign-0471qi,Diverse eco-centric frame,Brand Awareness,Facebook,Awareness,Impressions,Social Media,Segmented Audience,Restricted,0,32,114,0.15,14,574.57,41.04071429,0.52,295,1012,1012,1,841.51,218.5
7/21/2022,July,Conversion,84,Campaign-8512rb,Public-key explicit secured line,Sales Conversion,Google Ads,Decision,Impressions,Direct,Subscribers,Private,0,86,100,0.14,11,436,39.63636364,0.82,164,956,956,1,1201.2,293.14
9/29/2022,September,Conversion,74,Campaign-0034Ju,Optional zero-defect parallelism,Lead Generation,Twitter,Awareness,Impressions,Email,Subscribers,Restricted,0,77,93,0.19,7,326.64,46.66285714,0.56,137,995,995,1,1253.89,77.91
2/18/2022,February,Engagement,16,Campaign-5909PF,Adaptive solution-oriented methodology,Brand Awareness,Instagram,Awareness,Impressions,SEO,New Visitors,Private,0,21,106,0.04,7,562.54,80.36285714,0.08,11,979,979,1,888,137.56
12/29/2022,December,Engagement,11,Campaign-7658ln,Cloned methodical frame,Lead Generation,Instagram,Consideration,Impressions,PPC,Segmented Audience,Public,0,15,99,0.14,10,594.26,59.426,0.26,205,957,957,1,969.69,266.32
10/24/2022,October,Ad Display,79,Campaign-6940ij,Up-sized maximized software,Sales Conversion,Instagram,Decision,Impressions,PPC,New Visitors,Restricted,0,82,105,0.2,6,651.66,108.61,0.24,62,1022,1022,1,763.59,50.59
6/4/2022,June,Click,79,Campaign-4555Tf,Reactive high-level matrices,Lead Generation,Twitter,Decision,Impressions,Direct,Subscribers,Private,0,80,104,0.05,5,380.89,76.178,0.86,268,952,952,1,1025.54,11.02
1/3/2023,January,Engagement,21,Campaign-5900rk,Secured asymmetric projection,Lead Generation,Facebook,Decision,Impressions,Email,Segmented Audience,Restricted,0,24,99,0.2,10,657.71,65.771,0.8,201,1012,1012,1,416.29,-72.03
6/11/2022,June,Click,21,Campaign-2945zJ,Integrated demand-driven system engine,Sales Conversion,Facebook,Consideration,Impressions,Referral,Segmented Audience,Restricted,0,22,103,0.01,16,623.44,38.965,0.98,183,984,984,1,1095.83,205
10/1/2022,October,Engagement,63,Campaign-2417Up,Operative maximized help-desk,Lead Generation,Instagram,Decision,Impressions,Referral,Returning Customers,Public,0,64,114,0.07,8,556.41,69.55125,0.47,2,1010,1010,1,1113.56,213.39
7/22/2022,July,Engagement,47,Campaign-0428Ue,Organic secondary circuit,Lead Generation,Google Ads,Consideration,Impressions,SEO,Returning Customers,Restricted,0,51,89,0.07,13,568.88,43.76,0.75,227,966,966,1,975.15,57.09
7/23/2023,July,Click,79,Campaign-4654Ag,Vision-oriented system-worthy matrices,Lead Generation,Google Ads,Decision,Impressions,PPC,New Visitors,Private,0,82,118,0.05,9,757.85,84.20555556,0.23,170,959,959,1,639.8,-39.9
6/29/2023,June,Click,37,Campaign-1877vZ,Multi-lateral asymmetric extranet,Sales Conversion,Facebook,Decision,Impressions,PPC,Returning Customers,Public,0,38,77,0.08,3,421.03,140.3433333,0.12,42,1001,1001,1,744.2,-7.77
7/1/2022,July,Engagement,63,Campaign-5171SF,Stand-alone non-volatile database,Lead Generation,Facebook,Consideration,Impressions,SEO,Segmented Audience,Private,0,65,92,0.18,12,474.61,39.55083333,0.07,260,978,978,1,528.1,68.32
11/10/2022,November,Click,5,Campaign-6045VR,Reverse-engineered client-driven secured line,Lead Generation,LinkedIn,Awareness,Impressions,PPC,Returning Customers,Private,0,10,106,0.15,12,407.14,33.92833333,0.27,286,990,990,1,976.64,-84.25
10/30/2023,October,Ad Display,16,Campaign-2296ZO,Progressive executive projection,Brand Awareness,Instagram,Decision,Impressions,SEO,Subscribers,Restricted,0,16,90,0.17,6,525.52,87.58666667,0.6,4,1000,1000,1,395.93,2.64
8/15/2023,August,Ad Display,42,Campaign-1113Vo,Configurable context-sensitive superstructure,Brand Awareness,Instagram,Decision,Impressions,PPC,Segmented Audience,Public,0,47,108,0.12,11,691.79,62.89,0.72,139,1022,1022,1,1111.69,83.39
1/12/2023,January,Conversion,11,Campaign-0601zJ,Adaptive next generation paradigm,Brand Awareness,LinkedIn,Consideration,Impressions,PPC,Returning Customers,Public,0,15,104,0.06,15,54.09,3.606,0.57,291,1035,1035,1,1386.96,63.7
2/12/2023,February,Engagement,11,Campaign-8477YL,Upgradable zero administration service-desk,Brand Awareness,LinkedIn,Consideration,Impressions,Social Media,Subscribers,Private,0,11,100,0.08,12,514.63,42.88583333,0.36,41,1007,1007,1,465.24,124.24
2/7/2022,February,Ad Display,53,Campaign-3615oq,Team-oriented national knowledgebase,Lead Generation,Facebook,Awareness,Impressions,Direct,Subscribers,Restricted,0,53,111,0.19,10,814.03,81.403,0.85,288,964,964,1,1236.92,257.17
1/17/2023,January,Click,74,Campaign-9263wh,Realigned mission-critical focus group,Lead Generation,Twitter,Decision,Impressions,PPC,Returning Customers,Private,0,75,92,0.14,6,509.47,84.91166667,0.77,249,972,972,1,526.4,-86.31
6/7/2022,June,Engagement,11,Campaign-1087WR,Enterprise-wide 24hour project,Sales Conversion,LinkedIn,Decision,Impressions,Referral,Returning Customers,Public,0,15,81,0.13,5,426.3,85.26,0.74,14,968,968,1,164.21,230.52
4/5/2023,April,Click,11,Campaign-3176qn,Optional heuristic framework,Brand Awareness,LinkedIn,Consideration,Impressions,Referral,Subscribers,Private,0,14,97,0.11,10,403.46,40.346,0.64,277,1030,1030,1,1050.5,-47.75
12/23/2023,December,Ad Display,21,Campaign-0392gm,Optional actuating standardization,Sales Conversion,Google Ads,Consideration,Impressions,SEO,Returning Customers,Private,0,26,112,0.07,13,527.92,40.60923077,0.86,288,1025,1025,1,958.29,161.29
8/13/2023,August,Engagement,68,Campaign-7658jg,Automated 6thgeneration encryption,Lead Generation,LinkedIn,Decision,Impressions,Referral,New Visitors,Private,0,72,93,0.17,12,619.39,51.61583333,0.69,113,1039,1039,1,522.08,289.93
6/25/2023,June,Ad Display,58,Campaign-9729zO,Optimized zero administration projection,Brand Awareness,LinkedIn,Decision,Impressions,Social Media,Subscribers,Restricted,0,60,106,0.14,12,604.04,50.33666667,0.44,120,985,985,1,1528.18,25.18
4/29/2022,April,Ad Display,32,Campaign-6875FF,Cross-group 6thgeneration implementation,Lead Generation,LinkedIn,Awareness,Impressions,Email,Subscribers,Public,0,36,98,0.2,10,347.78,34.778,0.56,186,1029,1029,1,907.11,21.56
4/26/2023,April,Ad Display,74,Campaign-3893av,Phased radical database,Sales Conversion,LinkedIn,Awareness,Impressions,Email,Segmented Audience,Private,0,75,90,0.04,13,423.53,32.57923077,0.64,226,982,982,1,811.6,-65.67
8/22/2023,August,Engagement,47,Campaign-5508jq,Customizable encompassing adapter,Sales Conversion,Facebook,Consideration,Impressions,PPC,Subscribers,Private,0,51,115,0.07,8,204.32,25.54,0.05,274,1001,1001,1,830.91,8.58
10/11/2022,October,Engagement,79,Campaign-9269sT,Enhanced methodical portal,Sales Conversion,LinkedIn,Consideration,Impressions,PPC,Segmented Audience,Private,0,81,94,0.12,10,582.57,58.257,0.23,28,946,946,1,1220.28,-59.05
2/23/2023,February,Engagement,32,Campaign-7118ce,Business-focused asymmetric adapter,Lead Generation,Twitter,Consideration,Impressions,Social Media,Segmented Audience,Public,0,35,114,0.09,11,428.62,38.96545455,0.52,7,1016,1016,1,1230.96,241.91
1/2/2023,January,Conversion,32,Campaign-3204aW,Function-based client-server intranet,Lead Generation,Facebook,Decision,Impressions,Direct,Subscribers,Public,0,35,105,0.19,13,464.92,35.76307692,0.6,26,1026,1026,1,938.26,39.37
3/9/2022,March,Conversion,74,Campaign-7522PD,Virtual cohesive data-warehouse,Lead Generation,Instagram,Consideration,Impressions,Referral,New Visitors,Public,0,77,103,0.18,14,404.04,28.86,0.76,135,979,979,1,1156.77,-13.82
2/22/2022,February,Click,63,Campaign-5868Gc,Front-line secondary definition,Lead Generation,Facebook,Decision,Impressions,Direct,New Visitors,Private,0,67,93,0.13,12,774.42,64.535,0.55,194,1010,1010,1,1179.38,164.97
9/13/2022,September,Ad Display,11,Campaign-9189eV,Quality-focused stable adapter,Lead Generation,Instagram,Consideration,Impressions,SEO,Returning Customers,Restricted,0,15,89,0.01,13,595.62,45.81692308,0.22,212,988,988,1,1434.17,288.28
1/7/2022,January,Conversion,63,Campaign-6348MA,Centralized local matrix,Lead Generation,Facebook,Decision,Impressions,PPC,Subscribers,Restricted,0,65,96,0.07,11,518.1,47.1,0.86,208,1026,1026,1,929.48,267.45
4/30/2022,April,Conversion,11,Campaign-7699oZ,Managed coherent project,Brand Awareness,Twitter,Decision,Impressions,SEO,New Visitors,Restricted,0,14,103,0.02,6,319.57,53.26166667,0.9,268,1016,1016,1,1112.77,111.28
8/12/2022,August,Engagement,47,Campaign-0024GK,Compatible analyzing protocol,Sales Conversion,Instagram,Awareness,Impressions,Social Media,New Visitors,Public,0,51,105,0.16,9,581.13,64.57,0.06,108,1032,1032,1,906.72,169.69
9/23/2023,September,Engagement,84,Campaign-4517qt,Right-sized actuating approach,Sales Conversion,Facebook,Consideration,Impressions,Email,Returning Customers,Public,0,86,96,0.11,9,430.34,47.81555556,0.98,157,962,962,1,305.89,250.06
5/4/2022,May,Conversion,58,Campaign-6660kP,Sharable discrete initiative,Lead Generation,Facebook,Decision,Impressions,Social Media,Subscribers,Private,0,58,91,0.1,12,465.25,38.77083333,0.16,10,1010,1010,1,1430.62,172.19
12/9/2023,December,Ad Display,37,Campaign-2345dc,Visionary zero administration firmware,Lead Generation,Google Ads,Awareness,Impressions,Direct,Segmented Audience,Private,0,40,124,0.12,13,363,27.92307692,0.79,113,986,986,1,993.32,168.88
8/23/2023,August,Conversion,84,Campaign-7627MT,Advanced modular firmware,Lead Generation,Facebook,Consideration,Impressions,PPC,Segmented Audience,Restricted,0,88,104,0.05,11,667.46,60.67818182,0.76,81,977,977,1,1347.73,107.27
8/27/2023,August,Conversion,58,Campaign-1256cN,Cross-platform next generation collaboration,Brand Awareness,LinkedIn,Decision,Impressions,Social Media,New Visitors,Public,0,59,102,0.14,10,445.54,44.554,0.61,238,1045,1045,1,957.25,-32.61
4/10/2023,April,Ad Display,21,Campaign-7670gE,Configurable holistic success,Lead Generation,Instagram,Awareness,Impressions,SEO,Segmented Audience,Public,0,25,110,0.09,16,614.37,38.398125,0.77,182,991,991,1,463.37,44.11
1/15/2023,January,Conversion,68,Campaign-2009Ni,Intuitive responsive model,Lead Generation,Google Ads,Consideration,Impressions,PPC,New Visitors,Private,0,70,105,0.14,6,581.54,96.92333333,0.6,247,1002,1002,1,1453.9,85.47
2/24/2023,February,Ad Display,63,Campaign-5185my,Streamlined dedicated monitoring,Sales Conversion,Google Ads,Decision,Impressions,Direct,Subscribers,Restricted,0,67,113,0.18,8,662.26,82.7825,0.69,106,973,973,1,1308.81,227.89
4/23/2022,April,Engagement,26,Campaign-7109SD,Synergistic reciprocal website,Lead Generation,Twitter,Decision,Impressions,Referral,New Visitors,Public,0,29,79,0.06,13,624.48,48.03692308,0.05,205,997,997,1,1107.04,-47.42
3/19/2022,March,Conversion,53,Campaign-9519sY,Secured zero tolerance data-warehouse,Sales Conversion,Instagram,Consideration,Impressions,PPC,Segmented Audience,Restricted,0,53,100,0.06,6,507.99,84.665,0.51,173,992,992,1,807.68,-50.27
11/14/2023,November,Engagement,37,Campaign-2641HY,Realigned multimedia framework,Lead Generation,Twitter,Decision,Impressions,Email,Subscribers,Restricted,0,37,97,0.14,13,618.49,47.57615385,0.84,49,1026,1026,1,1128.22,6.76
3/2/2023,March,Click,58,Campaign-3067xW,Progressive dynamic complexity,Lead Generation,Instagram,Consideration,Impressions,Referral,Returning Customers,Public,0,62,98,0.2,9,609.74,67.74888889,0.68,107,988,988,1,1472.62,293.91
10/8/2023,October,Conversion,11,Campaign-3751cc,Enterprise-wide heuristic architecture,Sales Conversion,Google Ads,Consideration,Impressions,PPC,Subscribers,Restricted,0,12,106,0.02,7,391.24,55.89142857,0.67,32,990,990,1,1171.02,91.81
6/9/2022,June,Click,21,Campaign-7408QK,Cross-platform executive instruction set,Sales Conversion,Facebook,Awareness,Impressions,Email,Segmented Audience,Private,0,26,103,0.15,12,575.01,47.9175,0.97,30,1033,1033,1,1138.35,77.21
7/20/2023,July,Conversion,47,Campaign-9331XO,Optimized multimedia extranet,Lead Generation,Twitter,Decision,Impressions,Direct,Segmented Audience,Restricted,0,48,120,0.08,9,662.09,73.56555556,0.56,231,974,974,1,969.56,213.61
10/24/2022,October,Click,5,Campaign-8868th,Progressive coherent budgetary management,Lead Generation,Instagram,Consideration,Impressions,PPC,Segmented Audience,Private,0,10,93,0.1,9,963.29,107.0322222,0.3,118,1058,1058,1,1219.39,-47.7
5/3/2023,May,Click,53,Campaign-2696fg,Multi-layered hybrid capability,Sales Conversion,Twitter,Decision,Impressions,Referral,New Visitors,Restricted,0,57,95,0.2,12,567.73,47.31083333,0.71,52,986,986,1,1026.94,216.97
3/13/2023,March,Click,58,Campaign-6116Xj,Enterprise-wide actuating installation,Lead Generation,Google Ads,Decision,Impressions,PPC,Subscribers,Private,0,62,97,0.1,10,395.96,39.596,0.38,172,999,999,1,699.74,137.54
10/25/2022,October,Ad Display,63,Campaign-0766bF,Realigned 4thgeneration open system,Brand Awareness,Instagram,Awareness,Impressions,Direct,Subscribers,Public,0,68,88,0.05,8,443.84,55.48,0.68,86,1018,1018,1,1003.72,266.97
1/14/2023,January,Click,74,Campaign-5415eh,Future-proofed stable synergy,Brand Awareness,Facebook,Decision,Impressions,Referral,New Visitors,Private,0,78,98,0.07,9,877.89,97.54333333,0.59,73,1026,1026,1,983,293.09
4/18/2022,April,Click,53,Campaign-5055la,Re-engineered upward-trending functionalities,Lead Generation,Google Ads,Consideration,Impressions,PPC,Segmented Audience,Restricted,0,55,102,0.04,8,453.62,56.7025,0.09,251,1017,1017,1,942.13,-86.39
7/4/2022,July,Engagement,11,Campaign-3519jn,Front-line web-enabled adapter,Brand Awareness,Facebook,Decision,Impressions,Referral,Subscribers,Public,0,11,97,0.13,7,243.79,34.82714286,0.74,130,955,955,1,1044.85,146.68
10/21/2022,October,Engagement,84,Campaign-0310sx,Centralized 5thgeneration adapter,Sales Conversion,Facebook,Decision,Impressions,Direct,Subscribers,Private,0,86,110,0.07,10,497.39,49.739,0.64,283,1022,1022,1,329.45,208.17
8/27/2022,August,Engagement,42,Campaign-0932lD,Focused fresh-thinking budgetary management,Lead Generation,Facebook,Consideration,Impressions,Social Media,Returning Customers,Private,0,47,89,0.03,9,164.11,18.23444444,0.9,185,955,955,1,1349.78,105.28
